SFm,EDm,RSm,SEm,Em,El,RGm,Asm,Rm,RTm,RSd,ESm,RRm,Km,RTd,RGd,M1m,class
172.473362,5.243943,43.800431,0.812774,0.228523,0.003345,43.028042,3457376.947287,3619.495074,41.248632,21.912391,0.905387,55.806736,89454671649.08269,21.913723,22.84761,-0.146897,0
212.477016,7.434451,28.242499,0.86045,0.231866,0.005113,36.336147,6534186.163342,3964.756518,36.544511,12.775416,0.930247,15.886451,215853058042.06064,13.637614,13.062584,0.584335,0
213.934192,7.334882,48.627341,0.740376,0.332185,0.00447,43.087762,7084041.514192,3033.68195,41.719539,27.925648,0.870816,55.329468,200029541173.71112,19.529773,20.105442,1.204622,0
285.776047,4.825737,39.098973,0.832485,0.34716,0.004168,52.134777,6538634.242346,5725.562558,43.17858,16.653536,0.913961,22.60641,432116535536.99207,13.889276,17.766253,1.646384,0
225.15591,3.910991,70.602915,0.816708,0.307836,0.006795,91.929329,10569262.795409,2736.176621,89.99585,55.540702,0.914913,84.173088,257276011108.64423,69.841522,66.362908,1.131027,0
169.391048,6.056435,33.344162,0.851149,0.198574,0.004031,44.973613,4143648.986171,2297.529902,44.035821,11.380713,0.924246,22.202575,157503722609.78992,17.636723,15.194031,0.824865,0
207.128074,4.937044,57.666762,0.810611,0.279084,0.004825,76.089458,6773565.890168,3027.663334,66.548772,28.515872,0.908402,44.958477,253022058408.1942,40.488418,42.488051,1.919282,0
173.886027,5.898123,32.420441,0.846311,0.215439,0.003655,38.285625,3817898.819529,2037.098263,36.906376,12.289871,0.921623,19.468146,150084521857.70096,14.868337,12.556038,0.773632,0
147.895768,6.780799,44.294934,0.828789,0.175718,0.003637,63.006797,3593601.896743,1784.969262,64.23846,32.245125,0.909612,46.206573,121095534637.0796,44.461178,48.266299,0.627137,0
208.585788,6.132708,54.668072,0.793756,0.279263,0.002931,66.533004,3811320.515904,3519.864449,59.233491,23.743508,0.891414,32.627848,295604381790.848,30.581718,29.476671,2.32807,0
146.582449,4.859249,34.67806,0.852244,0.188888,0.002474,49.077618,2403818.235389,2275.500409,49.980679,17.408599,0.931115,34.872968,118998490092.94469,34.498226,30.439781,0.073947,0
233.616393,4.77929,49.120424,0.844144,0.297891,0.004211,57.876921,5557085.445951,4882.256155,50.468005,19.25539,0.918452,31.582841,345198366556.1244,23.684833,22.241768,1.515313,0
